icao_code,group,latitude,longitude,change
VIDP,G0,28.5665,77.103104,-0.470480356395082
VHHH,G0,22.308901,113.915001,-0.467519447424893
CYYZ,G0,43.6772003174,-79.6305999756,-0.467432620641059
OMDB,G0,25.2527999878,55.3643989563,-0.548167173424487
KPHL,G0,39.871898651123,-75.241096496582,-0.298994331921645
KMSP,G0,44.882,-93.221802,-0.368989275026487
LEMD,G0,40.471926,-3.56264,-0.601859440214058
YSSY,G0,-33.9460983276367,151.177001953125,-0.604563157502052
KEWR,G0,40.6925010681152,-74.168701171875,-0.33234932424578
KBOS,G0,42.36429977,-71.00520325,-0.330818357344423
KDEN,G0,39.861698150635,-104.672996521,-0.088552762391706
KATL,G0,33.6367,-84.428101,0.357453628915029
EDDM,G0,48.353802,11.7861,-0.628095205432471
KJFK,G0,40.639801,-73.7789,-0.504569958986586
KPHX,G0,33.4342994689941,-112.012001037598,-0.167634193093882
KSEA,G0,47.449001,-122.308998,-0.222582112980569
EHAM,G0,52.308601,4.76389,-0.500568851693527
LFPG,G0,49.012798,2.55,-0.541693611004879
EDDF,G0,50.033333,8.570556,-0.544504022688053
KSFO,G0,37.6189994812012,-122.375,-0.455954603517736
EGLL,G0,51.4706,-0.461941,-0.56249761348041
KDFW,G0,32.896801,-97.038002,-0.183696124653091
KLAS,G0,36.08010101,-115.1520004,-0.361337130758703
KLAX,G0,33.942501,-118.407997,-0.322194244815118
KORD,G0,41.9786,-87.9048,-0.27821620674702
RKSS,G1,37.5583,126.791,0.07052883505133
ZUCK,G1,29.7192001342773,106.641998291016,0.334856325669894
UAAA,G1,43.3521003723145,77.0404968261719,-0.441020243311385
RCSS,G1,25.0694007873535,121.552001953125,-0.31968153411523
RCKH,G1,22.5771007537842,120.349998474121,-0.354510237963475
SBKP,G1,-23.0074005127,-47.1344985962,-0.286925540071258
ENZV,G1,58.876701354,5.6377801895,0.233350158852698
4GE2,G1,33.5500984191894,-84.1666030883789,-0.991098333010809
KCAE,G1,33.9388008117676,-81.119499206543,-0.957741804638814
KFCM,G1,44.8272018433,-93.4570999146,0.46858619685498
CYOW,G1,45.3224983215332,-75.6691970825195,-0.424793109272082
ESSB,G1,59.3544006347656,17.9416999816895,-0.57264138025469
KFXE,G1,26.1972999573,-80.1707000732,0.121517027863777
KMDT,G1,40.1935005188,-76.7633972168,-0.104519268615594
KMHR,G1,38.55390167,-121.2979965,0.055301020818262
VMMC,G1,22.149599,113.592003,-0.659066741727654
KAFW,G1,32.9875984192,-97.3188018799,0.079388148094321
YMEN,G1,-37.7281,144.901993,-0.216663411367505
EPGD,G1,54.3776016235352,18.4661998748779,-0.351446624542734
KSBA,G1,34.42620087,-119.8399963,0.427708191604306
KLUK,G1,39.10329819,-84.41860199,0.080221633341364
KRVS,G1,36.039600372314,-95.984596252441,1.37022140970953
LTAC,G1,40.1281013489,32.995098114,-0.315598115526424
SAEZ,G1,-34.8222,-58.5358,-0.69594470889784
LDZA,G1,45.7429008484,16.0687999725,-0.405024630541872
KISM,G1,28.2898006439,-81.4371032715,0.03905308668226
LIPE,G1,44.5354,11.2887,-0.227264711069308
71KY,G1,39.0348014832,-84.8727035522,-0.588968415055372
EDDN,G1,49.498699,11.078056,-0.535556472043834
KROC,G1,43.1189002990723,-77.6724014282227,0.493580291314512
02XS,G1,30.147699,-97.662804,-0.194691155277005
OMSJ,G1,25.3285999298096,55.5172004699707,-0.627726827530941
EDDP,G1,51.423889,12.236389,0.885915827313731
EPKK,G1,50.077702,19.7848,-0.216041973869209
ENVA,G1,63.4578018,10.9239998,-0.574529997432459
K1G4,G1,35.990398407,-113.816001892,-0.76859732072498
EHEH,G1,51.4500999451,5.37452983856,-0.499738513261113
OMAA,G1,24.4330005645752,54.6511001586914,-0.456155105009546
EGGP,G1,53.3335990905762,-2.8497200012207,-0.565015344147304
LGRP,G1,36.4053993225098,28.0862007141113,-0.687460216422661
KSMO,G1,34.0158,-118.450996,0.248913446312456
VTBD,G1,13.9125995636,100.607002258,-0.63124008134055
FD83,G1,28.2586002349854,-81.3840026855469,-0.669351778886846
KDWH,G1,30.0618000031,-95.5528030396,-0.722393333810854
KXNA,G1,36.281898,-94.306801,-0.660566050068632
LFPB,G1,48.9693984985352,2.44139003753662,-0.299551265769198
YPJT,G1,-32.0974998474121,115.880996704102,0.138771868959707
KHND,G1,35.9728012085,-115.134002686,-0.201184899421328
KBKL,G1,41.5175018310547,-81.6832962036133,-0.448819380558111
KRIR,G1,33.9897003173828,-117.411003112793,-0.341829085457271
YPPF,G1,-34.7933006287,138.632995605,0.093999876030497
LEZL,G1,37.4179992675781,-5.8931097984314,-0.509663780954298
KPWK,G1,42.114222,-87.901494,0.209516291477257
KSUS,G1,38.662101745605,-90.652000427246,0.202718201628627
KTTN,G1,40.2766990661621,-74.8134994506836,-0.042822148970273
FAOR,G1,-26.1392,28.246,-0.829137564741658
KAKH,G1,35.202598,-81.149902,-0.668447435927608
KISP,G1,40.79520035,-73.10019684,0.143051277405327
KU30,G1,36.0205001831055,-114.334999084473,-0.754201398225329
KMKC,G1,39.1231994628906,-94.5927963256836,0.054201120298746
KTOA,G1,33.803398132324,-118.33999633789,0.585475434036135
K61B,G1,35.947498,-114.861,-0.635684516788551
ZGSZ,G1,22.6392993927002,113.810997009277,0.271820422553796
KSQL,G1,37.511901855469,-122.25,-0.078056931431641
LIRA,G1,41.7994,12.5949,-0.365071919949969
KSLC,G1,40.7883987426758,-111.977996826172,0.16668970665487
LGIR,G1,35.3396987915,25.1802997589,-0.872936932998142
