group,variable,value
巨型,國內,187828.1
巨型,國際,106442.6
巨型,白天,266527.1
巨型,夜晚,131372.2
巨型,長程,36054.6
巨型,中程,106449.7
巨型,短程,151766.4
中型,國內,30058.3
中型,國際,12235
中型,白天,42212.5
中型,夜晚,17011.5
中型,長程,1264
中型,中程,10444.7
中型,短程,30584.6
大型,國內,63322
大型,國際,62301.9
大型,白天,123140.9
大型,夜晚,62966.4
大型,長程,9845.6
大型,中程,44423.4
大型,短程,71354.9
小型,國內,527.9
小型,國際,99.9
小型,白天,613
小型,夜晚,168
小型,長程,11.8
小型,中程,74.7
小型,短程,541.3
