icao_code,long_destination,medium_destination,short_destination,lat_1,long_1,group,lat_2,long_2
KMKC,0,3,1,39.1231994628906,-94.5927963256836,0,50.324699,14.2589
LKSZ,0,0,0,50.324699,14.2589,0,49.0742,-123.012001
CZBB,0,0,0,49.0742,-123.012001,0,34.2136993408203,-119.09400177002
KCMA,0,2,1,34.2136993408203,-119.09400177002,0,-34.7261,-58.5011
SADZ,1,0,0,-34.7261,-58.5011,0,1.12102997303,104.119003296
WIDD,6,0,0,1.12102997303,104.119003296,0,-11.7946996688843,-77.1809005737305
SPNO,0,0,1,-11.7946996688843,-77.1809005737305,0,42.8600997924805,-70.9965972900391
6MA2,1,0,0,42.8600997924805,-70.9965972900391,0,34.42620087,-119.8399963
KSBA,1,1,0,34.42620087,-119.8399963,0,-22.415472,-43.774735
SIFU,1,0,0,-22.415472,-43.774735,0,39.10329819,-84.41860199
KLUK,3,1,0,39.10329819,-84.41860199,0,42.23789978,-83.53040314
KYIP,0,2,0,42.23789978,-83.53040314,0,43.542,6.95348
LFMD,1,0,0,43.542,6.95348,0,39.0853996277,-76.7593994141
KFME,0,0,0,39.0853996277,-76.7593994141,0,39.6851005554199,-83.0718994140625
38OI,2,0,0,39.6851005554199,-83.0718994140625,0,54.9132003784,8.34047031403
EDXW,0,0,0,54.9132003784,8.34047031403,0,32.6638984680176,-97.0942993164062
KGKY,0,1,0,32.6638984680176,-97.0942993164062,0,34.0559997558594,-117.600997924805
KONT,0,2,1,34.0559997558594,-117.600997924805,0,-27.384199142456,153.117004394531
YBBN,41,0,3,-27.384199142456,153.117004394531,0,-34.945,138.531006
YPAD,14,3,0,-34.945,138.531006,0,50.134998,11.459722
EDQK,0,0,0,50.134998,11.459722,0,29.867472,-81.367361
FL36,0,0,1,29.867472,-81.367361,0,30.1944999694824,-97.6698989868164
KAUS,0,3,1,30.1944999694824,-97.6698989868164,0,39.077999,-77.557503
KJYO,0,0,0,39.077999,-77.557503,0,25.2527999878,55.3643989563
OMDB,406,16,42,25.2527999878,55.3643989563,0,43.7711982727,-88.4884033203
KFLD,0,1,0,43.7711982727,-88.4884033203,0,33.8208999633789,35.4883995056152
OLBA,0,0,0,33.8208999633789,35.4883995056152,0,36.691002,3.21541
DAAG,0,0,1,36.691002,3.21541,0,29.179899,-81.058098
KDAB,0,0,1,29.179899,-81.058098,0,13.0746,-59.4925
TBPB,1,0,0,13.0746,-59.4925,0,-31.940299987793,115.967002868652
YPPH,26,11,5,-31.940299987793,115.967002868652,0,39.7164001464844,-104.732002258301
34CO,1,0,0,39.7164001464844,-104.732002258301,0,32.3829,-86.365799
KMXF,0,0,1,32.3829,-86.365799,0,-37.673302,144.843002
YMML,51,0,4,-37.673302,144.843002,0,29.336999893188,-98.471099853516
KSSF,0,0,0,29.336999893188,-98.471099853516,0,-17.5650005340576,-63.1747016906738
SLCY,0,0,0,-17.5650005340576,-63.1747016906738,0,52.3697013855,-1.47971999645
EGBE,0,0,1,52.3697013855,-1.47971999645,0,55.9747009277,-3.97555994987
EGPG,0,0,0,55.9747009277,-3.97555994987,0,44.09479904,-121.2009964
KBDN,0,0,0,44.09479904,-121.2009964,0,44.4850997924805,-88.1296005249024
KGRB,1,0,0,44.4850997924805,-88.1296005249024,0,25.861799240112,-80.897003173828
KTNT,0,3,0,25.861799240112,-80.897003173828,0,25.261101,51.565102
OTBD,0,0,0,25.261101,51.565102,0,39.0348014832,-84.8727035522
71KY,5,0,0,39.0348014832,-84.8727035522,0,29.8927,-97.862999
KHYI,0,0,0,29.8927,-97.862999,0,35.1795005798,128.93800354
RKPK,0,0,0,35.1795005798,128.93800354,0,33.4117012023926,-112.181999206543
1AZ2,0,0,1,33.4117012023926,-112.181999206543,0,49.4369010925293,7.60027980804443
ETAR,2,0,0,49.4369010925293,7.60027980804443,0,40.8437004089,-72.6317977905
KFOK,0,0,0,40.8437004089,-72.6317977905,0,41.4117012024,-81.8498001099
KCLE,0,1,0,41.4117012024,-81.8498001099,0,32.4207992554,-99.854598999
KDYS,0,0,0,32.4207992554,-99.854598999,0,33.803398132324,-118.33999633789
KTOA,0,0,1,33.803398132324,-118.33999633789,0,22.308901,113.915001
VHHH,255,28,6,22.308901,113.915001,0,34.537498474121,-117.46099853516
52CL,0,1,0,34.537498474121,-117.46099853516,0,36.176399231,-94.1193008423
KASG,0,0,1,36.176399231,-94.1193008423,0,40.1281013489,32.995098114
LTAC,0,0,0,40.1281013489,32.995098114,0,38.2924003601,27.156999588
LTBJ,1,0,0,38.2924003601,27.156999588,0,25.3285999298096,55.5172004699707
OMSJ,8,2,20,25.3285999298096,55.5172004699707,0,45.7453994750977,-122.846000671387
52OR,0,1,0,45.7453994750977,-122.846000671387,0,42.2229995728,-83.7455978394
KARB,0,1,0,42.2229995728,-83.7455978394,0,39.1754,-76.668297
KBWI,6,13,1,39.1754,-76.668297,0,-0.302940011024475,-78.2683029174805
SEHI,0,1,1,-0.302940011024475,-78.2683029174805,0,59.9692993164,11.0361003876
ENKJ,2,0,0,59.9692993164,11.0361003876,0,39.57009888,-104.848999
KAPA,0,2,3,39.57009888,-104.848999,0,34.091598510742,-117.78199768066
KPOC,0,0,0,34.091598510742,-117.78199768066,0,41.732601,-71.420403
KPVD,0,0,0,41.732601,-71.420403,0,23.1518001556396,-109.721000671387
MMSD,0,0,0,23.1518001556396,-109.721000671387,0,4.2222,100.6993
WMBA,0,0,0,4.2222,100.6993,0,35.617099762,-106.088996887
KSAF,0,0,0,35.617099762,-106.088996887,0,41.9519,12.4989
LIRU,1,0,0,41.9519,12.4989,0,37.7411994934,-25.6979007721
LPPD,0,0,0,37.7411994934,-25.6979007721,0,23.7787990570068,90.382698059082
VGTJ,0,0,0,23.7787990570068,90.382698059082,0,47.63330078125,-52.9832992553711
CCV4,0,0,0,47.63330078125,-52.9832992553711,0,54.6575012207,-6.21582984924
EGAA,0,1,0,54.6575012207,-6.21582984924,0,36.21070098877,-115.19400024414
KVGT,0,1,0,36.21070098877,-115.19400024414,0,39.156111,-84.781667
OA16,1,0,0,39.156111,-84.781667,0,27.4556007385254,-82.1050033569336
67FL,0,1,0,27.4556007385254,-82.1050033569336,0,63.985001,-22.6056
BIKF,1,0,0,63.985001,-22.6056,0,41.15570068,-104.8119965
KCYS,0,0,0,41.15570068,-104.8119965,0,51.4706,-0.461941
EGLL,266,0,27,51.4706,-0.461941,0,36.0051002502441,-94.1700973510742
KFYV,0,0,0,36.0051002502441,-94.1700973510742,0,34.637199401855,-86.775100708008
KHSV,3,0,0,34.637199401855,-86.775100708008,0,14.4954,120.903999
RPLS,6,0,0,14.4954,120.903999,0,32.9486999511719,-97.3289031982422
0TS2,0,1,0,32.9486999511719,-97.3289031982422,0,35.9728012085,-115.134002686
KHND,0,0,0,35.9728012085,-115.134002686,0,40.617401123,-74.2445983887
KLDJ,39,21,5,40.617401123,-74.2445983887,0,-26.3520377385,27.9681630135
FATA,2,0,0,-26.3520377385,27.9681630135,0,40.9710998535,-74.9974975586
K1N7,0,0,0,40.9710998535,-74.9974975586,0,31.636100769043,-106.429000854492
MMCS,0,0,0,31.636100769043,-106.429000854492,0,38.5097999573,-107.893997192
KMTJ,0,0,0,38.5097999573,-107.893997192,0,-15.869167,-47.920834
SBBR,4,0,1,-15.869167,-47.920834,0,-16.5132999420166,-68.1922988891602
SLLP,2,0,0,-16.5132999420166,-68.1922988891602,0,42.1528015136719,-83.5673980712891
86MI,0,1,0,42.1528015136719,-83.5673980712891,0,29.8335990905762,-95.1484985351562
8TX7,0,0,0,29.8335990905762,-95.1484985351562,0,51.552223,12.053889
EDAQ,0,0,0,51.552223,12.053889,0,49.9487,7.26389
EDFH,5,0,0,49.9487,7.26389,0,30.087,-90.582602
K1L0,0,2,0,30.087,-90.582602,0,35.3396987915,25.1802997589
LGIR,0,0,0,35.3396987915,25.1802997589,0,31.8395004272,34.8218002319
LLEK,0,0,0,31.8395004272,34.8218002319,0,47.59,7.529167
LSZM,1,0,0,47.59,7.529167,0,35.8419,139.410995
RJTJ,3,0,0,35.8419,139.410995,0,-11.9287004470825,-77.0610961914062
SPOL,0,1,0,-11.9287004470825,-77.0610961914062,0,-33.9648017883,18.6016998291
FACT,8,0,1,-33.9648017883,18.6016998291,0,19.4363,-99.072098
MMMX,24,6,2,19.4363,-99.072098,0,27.6966,85.3591
VNKT,0,0,3,27.6966,85.3591,0,40.8516006469727,-105.633003234863
25CO,0,0,0,40.8516006469727,-105.633003234863,0,53.914444,11.499444
EDCW,0,0,0,53.914444,11.499444,0,38.8521,-77.037697
KDCA,0,9,3,38.8521,-77.037697,0,37.4161,-122.049004
KNUQ,0,0,0,37.4161,-122.049004,0,54.4010009765625,48.8027000427246
UWLW,0,0,0,54.4010009765625,48.8027000427246,0,41.5875015258789,-86.9028015136719
5IN6,1,0,0,41.5875015258789,-86.9028015136719,0,48.646900177,-123.426002502
CYYJ,0,0,1,48.646900177,-123.426002502,0,51.2136001587,-0.138611003757
EGKR,0,0,1,51.2136001587,-0.138611003757,0,32.9875984192,-97.3188018799
KAFW,0,0,1,32.9875984192,-97.3188018799,0,32.0113983154297,34.8866996765137
LLBG,14,5,2,32.0113983154297,34.8866996765137,1,34.2141990662,134.01600647
RJOT,0,0,0,34.2141990662,134.01600647,1,51.113899231,-114.019996643
CYYC,8,15,3,51.113899231,-114.019996643,1,33.5741996765,-117.127998352
KF70,0,0,1,33.5741996765,-117.127998352,1,40.95959854,-72.25180054
KHTO,0,0,0,40.95959854,-72.25180054,1,37.9364013672,23.9444999695
LGAV,4,1,1,37.9364013672,23.9444999695,1,12.990005,80.169296
VOMM,3,14,5,12.990005,80.169296,1,33.224201,-111.594002
47AZ,0,0,1,33.224201,-111.594002,1,41.6838989257812,-88.2622985839844
85LL,0,1,0,41.6838989257812,-88.2622985839844,1,50.033333,8.570556
EDDF,168,3,44,50.033333,8.570556,1,37.894199371338,-121.2379989624
KSCK,0,2,0,37.894199371338,-121.2379989624,1,24.2481994629,54.5476989746
OMAM,3,0,0,24.2481994629,54.5476989746,1,24.8551006317139,121.237998962402
RCDI,1,0,0,24.8551006317139,121.237998962402,1,37.511901855469,-122.25
KSQL,0,1,0,37.511901855469,-122.25,1,26.4712009429932,49.7979011535645
OEDF,0,1,0,26.4712009429932,49.7979011535645,1,36.717008,127.498741
RKTU,1,0,0,36.717008,127.498741,1,14.3913,120.607002
RPLX,1,0,0,14.3913,120.607002,1,39.861698150635,-104.672996521
KDEN,5,14,2,39.861698150635,-104.672996521,1,43.34930038,-88.39109802
KHXF,0,0,0,43.34930038,-88.39109802,1,35.3931007385254,-97.600700378418
KOKC,0,1,0,35.3931007385254,-97.600700378418,1,45.620499,-122.655998
KVUO,0,7,0,45.620499,-122.655998,1,32.2542991638184,-95.6557998657227
TX40,0,0,0,32.2542991638184,-95.6557998657227,1,45.3224983215332,-75.6691970825195
CYOW,0,1,0,45.3224983215332,-75.6691970825195,1,38.50899887,-122.8130035
KSTS,0,0,0,38.50899887,-122.8130035,1,36.4053993225098,28.0862007141113
LGRP,0,1,0,36.4053993225098,28.0862007141113,1,47.493888,39.924722
URRP,0,0,0,47.493888,39.924722,1,37.3446998596191,-76.5643997192383
92VA,0,0,0,37.3446998596191,-76.5643997192383,1,52.702,-8.92482
EINN,2,0,0,52.702,-8.92482,1,35.2140007019043,-80.9430999755859
KCLT,0,5,0,35.2140007019043,-80.9430999755859,1,36.62590027,-93.22889709
KPLK,0,0,0,36.62590027,-93.22889709,1,40.2766990661621,-74.8134994506836
KTTN,1,1,0,40.2766990661621,-74.8134994506836,1,41.138901,16.760599
LIBD,0,1,0,41.138901,16.760599,1,56.7016983032227,60.7900009155273
USSK,0,0,0,56.7016983032227,60.7900009155273,1,41.504101,-74.104797
KSWF,0,0,0,41.504101,-74.104797,1,39.9011993408203,-83.1369018554688
KTZR,1,0,0,39.9011993408203,-83.1369018554688,1,29.9862995147705,-95.6856002807617
TS07,0,0,0,29.9862995147705,-95.6856002807617,1,-37.9757995605469,145.102005004883
YMMB,0,0,0,-37.9757995605469,145.102005004883,1,38.935528,-84.568278
8KY6,1,0,0,38.935528,-84.568278,1,43.1072998046875,-78.9461975097656
KIAG,0,1,0,43.1072998046875,-78.9461975097656,1,25.7931995391846,-80.2906036376953
KMIA,19,5,5,25.7931995391846,-80.2906036376953,1,47.90629959,-122.2819977
KPAE,0,2,0,47.90629959,-122.2819977,1,51.577778,12.494444
EDAW,0,0,0,51.577778,12.494444,1,-36.5974998474121,175.766998291016
NZGR,0,0,1,-36.5974998474121,175.766998291016,1,40.9584007263184,-72.716796875
03NY,0,0,0,40.9584007263184,-72.716796875,1,51.1031,-114.374001
CYBW,0,0,0,51.1031,-114.374001,1,53.421299,-6.27007
EIDW,5,1,1,53.421299,-6.27007,1,33.535701751709,-84.1791000366211
K4A0,0,0,0,33.535701751709,-84.1791000366211,1,47.42976,19.261093
LHBP,2,2,0,47.42976,19.261093,1,30.6788005828857,-97.6793975830078
KGTU,0,0,0,30.6788005828857,-97.6793975830078,1,33.4225006104,-112.375999451
KGYR,1,0,0,33.4225006104,-112.375999451,1,26.59300041,-80.08509827
KLNA,0,1,0,26.59300041,-80.08509827,1,35.8776016235352,-78.7874984741211
KRDU,2,4,0,35.8776016235352,-78.7874984741211,1,34.209800720215,-118.48999786377
KVNY,4,12,0,34.209800720215,-118.48999786377,1,36.645198822,-6.34946012497
LERT,2,0,0,36.645198822,-6.34946012497,1,29.0958995819,-111.047996521
MMHO,0,0,0,29.0958995819,-111.047996521,1,37.4835014343262,-80.0998001098633
VA85,0,0,0,37.4835014343262,-80.0998001098633,1,30.147699,-97.662804
02XS,0,1,0,30.147699,-97.662804,1,33.922548,-116.850672
KBNG,0,0,1,33.922548,-116.850672,1,33.9388008117676,-81.119499206543
KCAE,0,0,0,33.9388008117676,-81.119499206543,1,38.9445,-77.455803
KIAD,51,13,3,38.9445,-77.455803,1,50.3450012207031,30.8946990966797
UKBB,3,0,0,50.3450012207031,30.8946990966797,1,42.793399810791,-87.8906021118164
0WI5,0,1,0,42.793399810791,-87.8906021118164,1,40.219200134277,-111.72299957275
KPVU,0,0,0,40.219200134277,-111.72299957275,1,45.6306,8.72811
LIMC,20,0,6,45.6306,8.72811,1,36.0346984863281,140.192993164063
RJAK,44,0,0,36.0346984863281,140.192993164063,1,56.743099212646,60.802700042725
USSS,0,3,0,56.743099212646,60.802700042725,1,23.3924007415771,113.299003601074
ZGGG,6,0,0,23.3924007415771,113.299003601074,1,39.2619018555,-85.8963012695
KBAK,0,0,0,39.2619018555,-85.8963012695,1,36.1245002746582,-86.6781997680664
KBNA,1,2,0,36.1245002746582,-86.6781997680664,1,27.84930038,-82.52120209
KMCF,0,1,0,27.84930038,-82.52120209,1,33.9897003173828,-117.411003112793
KRIR,2,10,0,33.9897003173828,-117.411003112793,1,26.5797996520996,-81.4837036132812
08FA,1,0,0,26.5797996520996,-81.4837036132812,1,28.2085990905762,-81.1192016601563
57FA,3,0,0,28.2085990905762,-81.1192016601563,1,55.536305364,13.3761978149
ESMS,1,0,0,55.536305364,13.3761978149,1,19.0981006622314,72.8341979980469
VAJJ,1,1,0,19.0981006622314,72.8341979980469,1,29.9834995269775,-90.4347991943359
1LA1,0,0,0,29.9834995269775,-90.4347991943359,1,39.0461006164551,-85.1567001342773
IG04,0,0,0,39.0461006164551,-85.1567001342773,1,41.66930008,-70.28040314
KHYA,0,1,0,41.66930008,-70.28040314,1,47.449001,-122.308998
KSEA,46,37,4,47.449001,-122.308998,1,38.662101745605,-90.652000427246
KSUS,1,1,1,38.662101745605,-90.652000427246,1,41.785999,-87.752403
KMDW,0,5,0,41.785999,-87.752403,1,36.6749000549316,-4.49911022186279
LEMG,0,3,0,36.6749000549316,-4.49911022186279,1,33.7821006774902,-84.8007965087891
0GE0,0,0,1,33.7821006774902,-84.8007965087891,1,33.5261993408203,-84.502197265625
GA95,0,0,0,33.5261993408203,-84.502197265625,1,15.186,120.559998
RPLC,0,3,0,15.186,120.559998,1,12.887900352478,-61.1801986694336
