icao_code,group,latitude,longitude,change
KBXA,G3,30.8136997223,-89.8649978638,36.5
K55M,G3,33.9261016845703,-91.8774032592773,36.4
5MS1,G3,32.9542999267578,-90.8459014892578,36
KD86,G3,36.448600769043,-119.31900024414,36
0MT9,G3,48.4832992553711,-114.49299621582,35.8333333333333
KL62,G3,35.3526992797852,-119.478996276855,35.3888888888889
KCRO,G3,36.102502,-119.595001,35
MS98,G3,30.7668991088867,-88.5999984741211,34.7
KOGM,G3,46.84550095,-89.36710358,34.5
5AR3,G3,34.350101,-91.783501,34.4
4NY0,G3,44.6688995361328,-73.5462036132813,34.3666666666667
RJSA,G3,40.7346992492676,140.690994262695,34.3571428571429
KE24,G3,33.8125,-109.9869995,34
KHTW,G3,38.4193,-82.494301,34
KM36,G3,34.8802986145019,-91.1763992309571,33.6666666666667
MD57,G3,38.0070991516113,-75.6174011230469,33.5
2MD0,G3,38.048698425293,-75.703498840332,33.5
HEBA,G3,30.9176998138428,29.6963996887207,33.125
K32A,G3,35.0870018005371,-93.4274978637695,33
6OH9,G3,40.105899810791,-84.39990234375,33
WI36,G3,45.826599,-89.620102,32.9
KPTV,G3,36.029598236084,-119.06300354004,32.7792207792208
KNY0,G3,42.9981994628906,-74.3295974731445,32.375
K6M7,G3,34.78030014,-90.81060028,32
32MS,G3,31.194167,-89.9525,32
9LA9,G3,30.7334995269775,-90.4501037597656,32
ID86,G3,44.2977981567383,-115.640998840332,32
SC88,G3,35.147301,-81.794268,31.9444444444444
2KY5,G3,38.375,-83.1547012329102,31.8
WS81,G3,45.9480018615723,-92.1084976196289,31.6666666666667
LICT,G3,37.9114,12.488,31.6666666666667
KL73,G3,35.5965995788574,-119.127998352051,31.6404494382022
LRBM,G3,47.660598,23.467252,31.5
KM37,G3,33.7764015197754,-90.5250015258789,31.4
K14M,G3,33.1825981140137,-90.8307037353516,31.3333333333333
K3G4,G3,40.9029998779297,-82.2555999755859,31.2352941176471
0MS5,G3,33.3917999267578,-90.9168014526367,31.2
EYND,G3,55.327778,21.045834,31.0740740740741
NY25,G3,42.4500999451,-75.0162963867,31
72ME,G3,44.635278,-68.6325,30.8888888888889
KMLF,G3,38.42660141,-113.012001,30.8076923076923
KTLR,G3,36.15629959,-119.3259964,30.6744186046512
ID35,G3,44.2391014099121,-116.142997741699,30.6315789473684
9CL5,G3,36.2751998901367,-119.640998840332,30.4285714285714
KEQY,G3,35.01879883,-80.62020111,30.4086021505376
MS15,G3,33.3311996459961,-91.0370025634766,30.4
LFEQ,G3,47.4822006225586,-3.09999990463257,30.3333333333333
05IA,G3,43.1375007629395,-93.0682983398438,30.2857142857143
97MT,G3,48.0749015808105,-114.676002502441,30
KO32,G3,36.6663017272949,-119.449996948242,29.9772727272727
KM73,G3,34.4123001098633,-91.4663009643555,29.9166666666667
0MT6,G3,48.0405998229981,-114.679000854492,29.6666666666667
CPE5,G3,42.877498626709,-79.3527984619141,29.65
KBJJ,G3,40.8748016357,-81.8882980347,29.54
ZSQZ,G3,24.7964,118.589996,29.4285714285714
5TN9,G3,36.113899230957,-85.5950012207031,29.3333333333333
LFTF,G3,43.247799,6.1267,29.25
SDRR,G3,-23.092501,-48.987401,29
22NE,G3,40.2970008850098,-97.7981033325195,29
K3Y3,G3,41.3628005981445,-94.0211029052734,29
28WI,G3,44.6040992736816,-92.0466003417969,29
43WI,G3,45.031533,-91.7325,29
K09M,G3,33.9915008544922,-90.0781021118164,28.5833333333333
KHJO,G3,36.31669998,-119.6279984,28.5730337078652
KPBG,G3,44.6509017944336,-73.4681015014648,28.4576271186441
67AR,G3,36.0978012085,-94.3075027466,28.3555555555556
MS74,G3,30.536301,-89.5112,28.3333333333333
38SC,G3,35.177778,-81.747778,28.2
5AR1,G3,33.7126007080078,-91.4611968994141,28.2
WN36,G3,46.9690017700195,-122.820999145508,28.2
EPBS,G3,53.576149,16.527729,28
KL05,G3,35.7282981872559,-118.419998168945,28
FL37,G3,27.2383995056152,-80.4914016723633,28
55CL,G3,35.2633018493652,-119.045997619629,28
KMLI,G3,41.4485015869141,-90.5074996948242,27.9288389513109
KU52,G3,38.23070145,-112.6750031,27.9230769230769
KVNC,G3,27.071599960327,-82.440299987793,27.909509202454
2MD4,G3,38.3945999145508,-75.5574035644531,27.7857142857143
CNN8,G3,44.4019012451172,-76.2442016601563,27.5
YMEB,G3,-30.1760997772217,135.671005249023,27.5
KJQF,G3,35.387798,-80.709099,27.4725274725275
73FD,G3,29.510799407959,-82.8600997924805,27.4444444444444
9GA9,G3,33.2181015014648,-83.3171997070312,27.35
41AR,G3,34.1232986450195,-93.3497009277344,27.3333333333333
K6I2,G3,37.6334991455078,-85.2417984008789,27.2666666666667
YELM,G3,-36.4901793786,144.647197723,27
VA41,G3,37.9346008300781,-75.6099014282227,27
7FL3,G3,27.441999,-80.584198,27
MT18,G3,48.28995,-114.182867,26.9285714285714
VA96,G3,37.8254013061523,-78.7316970825195,26.875
KUTA,G3,34.680999755859,-90.346702575684,26.6012084592145
OH90,G3,41.7072982788086,-84.2347030639649,26.5454545454545
OR76,G3,44.363201,-123.139999,26.5
11MD,G3,38.4333000183105,-75.627799987793,26.5
4NC0,G3,35.8984985351562,-80.6162033081055,26.4285714285714
KGTB,G3,44.05559921,-75.71949768,26.375
FD88,G3,27.3419990539551,-80.5220031738281,26.25
38CA,G3,35.6916007995605,-119.488998413086,26.1538461538462
2TS2,G3,26.168399810791,-97.7335968017578,26
KDLO,G3,35.7456016540527,-119.236999511719,25.6867469879518
13MS,G3,30.63330078125,-89.6639022827148,25.6666666666667
