icao_code,long_destination,medium_destination,short_destination,latitude,longitude,group
KTOA,0,0,1,33.803398132324,-118.33999633789,A
VHHH,255,28,6,22.308901,113.915001,A
52CL,0,1,0,34.537498474121,-117.46099853516,A
KASG,0,0,1,36.176399231,-94.1193008423,A
LTAC,0,0,0,40.1281013489,32.995098114,A
LTBJ,1,0,0,38.2924003601,27.156999588,A
OMSJ,8,2,20,25.3285999298096,55.5172004699707,A
52OR,0,1,0,45.7453994750977,-122.846000671387,A
KARB,0,1,0,42.2229995728,-83.7455978394,A
KBWI,6,13,1,39.1754,-76.668297,A
SEHI,0,1,1,-0.302940011024475,-78.2683029174805,A
ENKJ,2,0,0,59.9692993164,11.0361003876,A
KAPA,0,2,3,39.57009888,-104.848999,A
KPOC,0,0,0,34.091598510742,-117.78199768066,A
KPVD,0,0,0,41.732601,-71.420403,A
MMSD,0,0,0,23.1518001556396,-109.721000671387,A
WMBA,0,0,0,4.2222,100.6993,A
KSAF,0,0,0,35.617099762,-106.088996887,A
LIRU,1,0,0,41.9519,12.4989,A
LPPD,0,0,0,37.7411994934,-25.6979007721,A
VGTJ,0,0,0,23.7787990570068,90.382698059082,A
CCV4,0,0,0,47.63330078125,-52.9832992553711,A
EGAA,0,1,0,54.6575012207,-6.21582984924,A
KVGT,0,1,0,36.21070098877,-115.19400024414,A
OA16,1,0,0,39.156111,-84.781667,A
67FL,0,1,0,27.4556007385254,-82.1050033569336,A
BIKF,1,0,0,63.985001,-22.6056,A
KCYS,0,0,0,41.15570068,-104.8119965,A
EGLL,266,0,27,51.4706,-0.461941,A
KFYV,0,0,0,36.0051002502441,-94.1700973510742,A
KHSV,3,0,0,34.637199401855,-86.775100708008,A
RPLS,6,0,0,14.4954,120.903999,A
0TS2,0,1,0,32.9486999511719,-97.3289031982422,A
KHND,0,0,0,35.9728012085,-115.134002686,A
KLDJ,39,21,5,40.617401123,-74.2445983887,A
FATA,2,0,0,-26.3520377385,27.9681630135,A
K1N7,0,0,0,40.9710998535,-74.9974975586,A
MMCS,0,0,0,31.636100769043,-106.429000854492,A
KMTJ,0,0,0,38.5097999573,-107.893997192,A
SBBR,4,0,1,-15.869167,-47.920834,A
SLLP,2,0,0,-16.5132999420166,-68.1922988891602,A
86MI,0,1,0,42.1528015136719,-83.5673980712891,A
8TX7,0,0,0,29.8335990905762,-95.1484985351562,A
EDAQ,0,0,0,51.552223,12.053889,A
EDFH,5,0,0,49.9487,7.26389,A
K1L0,0,2,0,30.087,-90.582602,A
LGIR,0,0,0,35.3396987915,25.1802997589,A
LLEK,0,0,0,31.8395004272,34.8218002319,A
LSZM,1,0,0,47.59,7.529167,A
RJTJ,3,0,0,35.8419,139.410995,A
SPOL,0,1,0,-11.9287004470825,-77.0610961914062,A
FACT,8,0,1,-33.9648017883,18.6016998291,A
MMMX,24,6,2,19.4363,-99.072098,A
VNKT,0,0,3,27.6966,85.3591,A
25CO,0,0,0,40.8516006469727,-105.633003234863,A
EDCW,0,0,0,53.914444,11.499444,A
KDCA,0,9,3,38.8521,-77.037697,A
KNUQ,0,0,0,37.4161,-122.049004,A
UWLW,0,0,0,54.4010009765625,48.8027000427246,A
5IN6,1,0,0,41.5875015258789,-86.9028015136719,A
CYYJ,0,0,1,48.646900177,-123.426002502,A
EGKR,0,0,1,51.2136001587,-0.138611003757,A
KAFW,0,0,1,32.9875984192,-97.3188018799,A
LLBG,14,5,2,32.0113983154297,34.8866996765137,B
RJOT,0,0,0,34.2141990662,134.01600647,B
CYYC,8,15,3,51.113899231,-114.019996643,B
KF70,0,0,1,33.5741996765,-117.127998352,B
KHTO,0,0,0,40.95959854,-72.25180054,B
LGAV,4,1,1,37.9364013672,23.9444999695,B
VOMM,3,14,5,12.990005,80.169296,B
47AZ,0,0,1,33.224201,-111.594002,B
85LL,0,1,0,41.6838989257812,-88.2622985839844,B
EDDF,168,3,44,50.033333,8.570556,B
KSCK,0,2,0,37.894199371338,-121.2379989624,B
OMAM,3,0,0,24.2481994629,54.5476989746,B
RCDI,1,0,0,24.8551006317139,121.237998962402,B
KSQL,0,1,0,37.511901855469,-122.25,B
OEDF,0,1,0,26.4712009429932,49.7979011535645,B
RKTU,1,0,0,36.717008,127.498741,B
RPLX,1,0,0,14.3913,120.607002,B
KDEN,5,14,2,39.861698150635,-104.672996521,B
KHXF,0,0,0,43.34930038,-88.39109802,B
KOKC,0,1,0,35.3931007385254,-97.600700378418,B
KVUO,0,7,0,45.620499,-122.655998,B
TX40,0,0,0,32.2542991638184,-95.6557998657227,B
CYOW,0,1,0,45.3224983215332,-75.6691970825195,B
KSTS,0,0,0,38.50899887,-122.8130035,B
LGRP,0,1,0,36.4053993225098,28.0862007141113,B
URRP,0,0,0,47.493888,39.924722,B
92VA,0,0,0,37.3446998596191,-76.5643997192383,B
EINN,2,0,0,52.702,-8.92482,B
KCLT,0,5,0,35.2140007019043,-80.9430999755859,B
KPLK,0,0,0,36.62590027,-93.22889709,B
KTTN,1,1,0,40.2766990661621,-74.8134994506836,B
LIBD,0,1,0,41.138901,16.760599,B
USSK,0,0,0,56.7016983032227,60.7900009155273,B
KSWF,0,0,0,41.504101,-74.104797,B
KTZR,1,0,0,39.9011993408203,-83.1369018554688,B
TS07,0,0,0,29.9862995147705,-95.6856002807617,B
YMMB,0,0,0,-37.9757995605469,145.102005004883,B
8KY6,1,0,0,38.935528,-84.568278,B
KIAG,0,1,0,43.1072998046875,-78.9461975097656,B
KMIA,19,5,5,25.7931995391846,-80.2906036376953,B
KPAE,0,2,0,47.90629959,-122.2819977,B
EDAW,0,0,0,51.577778,12.494444,B
NZGR,0,0,1,-36.5974998474121,175.766998291016,B
03NY,0,0,0,40.9584007263184,-72.716796875,B
CYBW,0,0,0,51.1031,-114.374001,B
EIDW,5,1,1,53.421299,-6.27007,B
K4A0,0,0,0,33.535701751709,-84.1791000366211,B
LHBP,2,2,0,47.42976,19.261093,B
KGTU,0,0,0,30.6788005828857,-97.6793975830078,B
KGYR,1,0,0,33.4225006104,-112.375999451,B
KLNA,0,1,0,26.59300041,-80.08509827,B
KRDU,2,4,0,35.8776016235352,-78.7874984741211,B
KVNY,4,12,0,34.209800720215,-118.48999786377,B
LERT,2,0,0,36.645198822,-6.34946012497,B
MMHO,0,0,0,29.0958995819,-111.047996521,B
VA85,0,0,0,37.4835014343262,-80.0998001098633,B
02XS,0,1,0,30.147699,-97.662804,B
KBNG,0,0,1,33.922548,-116.850672,B
KCAE,0,0,0,33.9388008117676,-81.119499206543,B
KIAD,51,13,3,38.9445,-77.455803,B
UKBB,3,0,0,50.3450012207031,30.8946990966797,B
0WI5,0,1,0,42.793399810791,-87.8906021118164,B
KPVU,0,0,0,40.219200134277,-111.72299957275,B
LIMC,20,0,6,45.6306,8.72811,B
RJAK,44,0,0,36.0346984863281,140.192993164063,B
USSS,0,3,0,56.743099212646,60.802700042725,B
ZGGG,6,0,0,23.3924007415771,113.299003601074,B
KBAK,0,0,0,39.2619018555,-85.8963012695,B
KBNA,1,2,0,36.1245002746582,-86.6781997680664,B
KMCF,0,1,0,27.84930038,-82.52120209,B
KRIR,2,10,0,33.9897003173828,-117.411003112793,B
08FA,1,0,0,26.5797996520996,-81.4837036132812,B
57FA,3,0,0,28.2085990905762,-81.1192016601563,B
ESMS,1,0,0,55.536305364,13.3761978149,B
VAJJ,1,1,0,19.0981006622314,72.8341979980469,B
1LA1,0,0,0,29.9834995269775,-90.4347991943359,B
IG04,0,0,0,39.0461006164551,-85.1567001342773,B
KHYA,0,1,0,41.66930008,-70.28040314,B
KSEA,46,37,4,47.449001,-122.308998,B
KSUS,1,1,1,38.662101745605,-90.652000427246,B
KMDW,0,5,0,41.785999,-87.752403,B
LEMG,0,3,0,36.6749000549316,-4.49911022186279,B
0GE0,0,0,1,33.7821006774902,-84.8007965087891,B
GA95,0,0,0,33.5261993408203,-84.502197265625,B
RPLC,0,3,0,15.186,120.559998,B
TVSM,0,0,0,12.887900352478,-61.1801986694336,B
WBSB,10,0,0,4.94420003890991,114.928001403809,B
GMMN,0,0,0,33.3675003051758,-7.58997011184692,B
KLNK,1,1,0,40.851001739502,-96.7592010498047,B
KRNM,0,0,0,33.0392,-116.915001,B
MGGT,0,0,0,14.5833,-90.527496,B
MO03,0,0,0,38.4241981506348,-90.5829010009766,B
UGTB,0,0,0,41.6692008972,44.95470047,B
WICB,0,0,0,-6.293171,106.57,B
LPAR,3,0,1,38.883301,-9.0301,B
UHBB,1,0,0,50.4253997802734,127.412002563477,B
KRIV,0,0,0,33.880699,-117.259003,B
NTAA,1,0,1,-17.553699,-149.606995,B
OERK,4,2,2,24.9575996398926,46.6987991333008,B
SBKP,11,0,2,-23.0074005127,-47.1344985962,B
67OH,0,0,0,41.4138984680176,-81.4525985717773,B
KBJC,2,1,0,39.90879822,-105.1169968,B
KLWC,0,0,0,39.01119995,-95.21659851,B
KTPA,2,4,0,27.9755001068115,-82.533203125,B
SUMU,6,0,0,-34.838402,-56.0308,B
VGZR,0,1,0,23.843347,90.397783,B
VT47,0,1,0,42.7785987854004,-72.5278015136719,B
24MU,0,0,0,40.3628005981445,-95.4385986328125,B
CYXE,0,0,0,52.1707992553711,-106.699996948242,B
EBLG,41,0,0,50.6374015808106,5.44322013854981,B
EDDV,0,0,1,52.461101532,9.68507957458,B
ENGM,7,0,0,60.193901062012,11.100399971008,B
KBLI,0,2,1,48.7928009033203,-122.53800201416,B
KCDW,0,0,0,40.8751983643,-74.2814025879,B
LIPV,1,0,0,45.428299,12.3881,B
LIRA,0,1,0,41.7994,12.5949,B
KDWH,6,0,0,30.0618000031,-95.5528030396,B
LFPO,0,0,10,48.7233333,2.3794444,B
ESGG,0,0,1,57.662799835205,12.279800415039,B
KABQ,0,1,1,35.040199,-106.609001,B
KBAZ,0,1,0,29.7045,-98.042198,B
SKMA,2,1,0,4.7278,-74.2754,B
EGNX,0,0,0,52.8311004639,-1.32806003094,B
FABA,6,0,0,-25.9762557716,28.3890151978,B
GOBD,6,6,0,14.67,-17.073333,B
KDAL,5,6,1,32.847099,-96.851799,B
KPAO,0,0,0,37.461101532,-122.114997864,B
KTTD,0,1,0,45.54940032959,-122.40100097656,B
09NC,0,0,0,35.3292999267578,-79.0299987792969,B
LFML,0,0,0,43.439271922,5.22142410278,B
LIPX,0,0,0,45.395699,10.8885,B
MI39,0,0,0,42.075003,-83.608299,B
VABB,50,2,11,19.0886993408,72.8678970337,B
VCBI,5,7,2,7.1807599067688,79.8841018676758,B
60CO,1,1,0,39.9667015075684,-104.651000976563,B
EGMC,1,0,0,51.5713996887207,0.695555984973908,B
K07V,0,0,1,37.5238,-105.009002,B
MD46,0,0,0,39.2695999145508,-77.0053024291992,B
RJBB,61,8,2,34.4272994995117,135.244003295898,B
LGKN,0,0,0,38.137798,23.951099,B
UAAA,4,8,0,43.3521003723145,77.0404968261719,B
0GE4,0,0,0,33.3314018249512,-84.2667007446289,B
GMMT,1,0,0,33.5974998474121,-7.46500015258789,B
SBGR,87,2,25,-23.4355564117432,-46.4730567932129,B
KIND,8,2,0,39.7173,-86.294403,B
SBVT,0,0,0,-20.258057,-40.286388,B
0CD7,0,1,0,40.004699707,-105.071998596,B
EHAM,118,1,42,52.308601,4.76389,B
ESSA,14,0,1,59.651901245117,17.918600082397,B
FD83,3,4,0,28.2586002349854,-81.3840026855469,B
RJTK,61,0,0,35.3983,139.910004,B
SBJD,0,0,0,-23.180369,-46.944408,B
CYYZ,94,28,21,43.6772003174,-79.6305999756,B
DE04,2,0,0,39.2916984558105,-75.5749969482422,B
K20A,1,0,0,33.9723014831543,-86.3794021606445,B
KLGB,0,6,1,33.817699,-118.152,B
WIHH,0,0,0,-6.26661014556885,106.890998840332,B
ESME,0,0,0,55.8483009338,13.3283004761,B
KDTO,0,0,0,33.2006988525,-97.1979980469,B
KGYY,0,1,0,41.6162986755371,-87.4128036499024,B
KILG,0,0,0,39.67869949,-75.60649872,B
KUGN,2,0,0,42.422199249268,-87.867897033691,B
OERT,0,0,0,26.7231006622314,50.0307998657227,B
